"id","time","actor","action","content","type"
"LOG_001","1395131041","先生1","ログイン","先生 thang はログインできた","オペレーション"
"LOG_033","1395131118","先生1","コース情報変化","データベースでコースID（42)が は変更した","オペレーション"
"LOG_033","1395131143","先生1","コース情報変化","データベースでコースID（42)が は変更した","オペレーション"
"LOG_033","1395131153","先生1","コース情報変化","データベースでコースID（42)が は変更した","オペレーション"
"LOG_033","1395131159","先生1","コース情報変化","データベースでコースID（42)が は変更した","オペレーション"
"LOG_033","1395132158","先生1","コース情報変化","データベースでコースID（42)が は変更した","オペレーション"
"LOG_033","1395132487","先生1","コース情報変化","データベースでコースID（42)が は変更した","オペレーション"
"LOG_033","1395133344","先生1","コース情報変化","データベースでコースID（42)が は変更した","オペレーション"
"LOG_033","1395133364","先生1","コース情報変化","データベースでコースID（42)が は変更した","オペレーション"
"LOG_033","1395133457","先生1","コース情報変化","データベースでコースID（42)が は変更した","オペレーション"
"LOG_033","1395133486","先生1","コース情報変化","データベースでコースID（42)が は変更した","オペレーション"
"LOG_033","1395133508","先生1","コース情報変化","データベースでコースID（42)が は変更した","オペレーション"
"LOG_033","1395133523","先生1","コース情報変化","データベースでコースID（42)が は変更した","オペレーション"
"LOG_033","1395133541","先生1","コース情報変化","データベースでコースID（42)が は変更した","オペレーション"
"LOG_033","1395133552","先生1","コース情報変化","データベースでコースID（42)が は変更した","オペレーション"
"LOG_033","1395133566","先生1","コース情報変化","データベースでコースID（42)が は変更した","オペレーション"
"LOG_033","1395133590","先生1","コース情報変化","データベースでコースID（42)が は変更した","オペレーション"
"LOG_033","1395134674","先生1","コース情報変化","データベースでコースID（42)が は変更した","オペレーション"
"LOG_033","1395135024","先生1","コース情報変化","データベースでコースID（42)が は変更した","オペレーション"
"LOG_001","1395144878","先生1","ログイン","先生 thang はログインできた","オペレーション"
"LOG_018","1395144910","1","授業削除","先生 1 は授業 42を作成したい","オペレーション"
"LOG_019","1395144910","システム","授業削除","先生 1 は授業 42を作成できる","イベント"
